Designation OSE;Localisation;Type de structure;Taille;Secteurs;Sous-secteurs;Activités;Extra - Fourniture de service;Extra - Établissement principal;Resultat;Points d'attention;Code
Oui;-;-;-;-;-;-;-;-;Régulée EE;#MecanismeExemptionSecuriteNationale, #DORA;R1000
Non;France;Entreprise privée ou publique;Petite;Infrastructure numérique;-;Fournisseur de réseaux de communications électroniques publics;France;-;Régulée EI;#CriteresDePossibleInclusion, #MecanismeExemptionSecuriteNationale, #ResilienceEntiteCritique;R1001
Non;France;Entreprise privée ou publique;Petite;Infrastructure numérique;-;Fournisseur de réseaux de communications électroniques publics;Autres États membres de l'Union Européenne;-;Régulée, sans précision EE/EI;#TelecomAutresEMdelUEUniquement;R1002
Non;France;Entreprise privée ou publique;Petite;Infrastructure numérique;-;Fournisseur de réseaux de communications électroniques publics;Autres États hors Union Européenne;-;Non régulée;-;R1003
Non;France;Entreprise privée ou publique;Petite;Infrastructure numérique;-;Fournisseur de réseaux de communications électroniques publics;France + Autres États membres de l'Union Européenne;-;Régulée EI;#CriteresDePossibleInclusion, #TelecomFranceEtAutresEMdelUE, #MecanismeExemptionSecuriteNationale, #ResilienceEntiteCritique;R1004
Non;France;Entreprise privée ou publique;Petite;Infrastructure numérique;-;Fournisseur de réseaux de communications électroniques publics;France + Autres États hors Union Européenne;-;Régulée EI;#CriteresDePossibleInclusion, #MecanismeExemptionSecuriteNationale, #ResilienceEntiteCritique;R1005
Non;France;Entreprise privée ou publique;Petite;Infrastructure numérique;-;Fournisseur de réseaux de communications électroniques publics;Autres États membres de l'Union Européenne + Autres États hors Union Européenne;-;Régulée, sans précision EE/EI;#TelecomAutresEMdelUEUniquement;R1006
Non;France;Entreprise privée ou publique;Petite;Infrastructure numérique;-;Fournisseur de réseaux de communications électroniques publics;France + Autres États membres de l'Union Européenne + Autres États hors Union Européenne;-;Régulée EI;#CriteresDePossibleInclusion, #TelecomFranceEtAutresEMdelUE, #MecanismeExemptionSecuriteNationale, #ResilienceEntiteCritique;R1007
Non;France;Entreprise privée ou publique;Petite;Infrastructure numérique;-;Fournisseur de services de communications électroniques accessibles au public;France;-;Régulée EI;#CriteresDePossibleInclusion, #MecanismeExemptionSecuriteNationale, #ResilienceEntiteCritique;R1008
Non;France;Entreprise privée ou publique;Petite;Infrastructure numérique;-;Fournisseur de services de communications électroniques accessibles au public;Autres États membres de l'Union Européenne;-;Régulée, sans précision EE/EI;#TelecomAutresEMdelUEUniquement;R1009
Non;France;Entreprise privée ou publique;Petite;Infrastructure numérique;-;Fournisseur de services de communications électroniques accessibles au public;Autres États hors Union Européenne;-;Non régulée;-;R1010
Non;France;Entreprise privée ou publique;Petite;Infrastructure numérique;-;Fournisseur de services de communications électroniques accessibles au public;France + Autres États membres de l'Union Européenne;-;Régulée EI;#CriteresDePossibleInclusion, #TelecomFranceEtAutresEMdelUE, #MecanismeExemptionSecuriteNationale, #ResilienceEntiteCritique;R1011
Non;France;Entreprise privée ou publique;Petite;Infrastructure numérique;-;Fournisseur de services de communications électroniques accessibles au public;France + Autres États hors Union Européenne;-;Régulée EI;#CriteresDePossibleInclusion, #MecanismeExemptionSecuriteNationale, #ResilienceEntiteCritique;R1012
Non;France;Entreprise privée ou publique;Petite;Infrastructure numérique;-;Fournisseur de services de communications électroniques accessibles au public;Autres États membres de l'Union Européenne + Autres États hors Union Européenne;-;Régulée, sans précision EE/EI;#TelecomAutresEMdelUEUniquement;R1013
Non;France;Entreprise privée ou publique;Petite;Infrastructure numérique;-;Fournisseur de services de communications électroniques accessibles au public;France + Autres États membres de l'Union Européenne + Autres États hors Union Européenne;-;Régulée EI;#CriteresDePossibleInclusion, #TelecomFranceEtAutresEMdelUE, #MecanismeExemptionSecuriteNationale, #ResilienceEntiteCritique;R1014
Non;France;Entreprise privée ou publique;Petite;Infrastructure numérique;-;Fournisseur de services DNS, à l'exclusion des opérateurs de serveurs racines de noms de domaines;-;France;Régulée EE;#MecanismeExemptionSecuriteNationale;R1015
Non;France;Entreprise privée ou publique;Petite;Infrastructure numérique;-;Fournisseur de services DNS, à l'exclusion des opérateurs de serveurs racines de noms de domaines;-;Autres États membres de l'Union Européenne;Régulée, sans précision EE/EI;#NumeriqueEtabliEMUEhorsFrance ;R1016
Non;France;Entreprise privée ou publique;Petite;Infrastructure numérique;-;Registre de noms de domaines de premier niveau;-;France;Régulée EE;#MecanismeExemptionSecuriteNationale;R1017
Non;France;Entreprise privée ou publique;Petite;Infrastructure numérique;-;Registre de noms de domaines de premier niveau;-;Autres États membres de l'Union Européenne;Régulée, sans précision EE/EI;#NumeriqueEtabliEMUEhorsFrance ;R1018
Non;France;Entreprise privée ou publique;Petite;Infrastructure numérique;-;Fournisseur des services d'enregistrement de noms de domaine;-;France;Régulée, enregistrement seul;#EnregistrementNomsDeDomaine, #ResilienceEntiteCritique, #MecanismeExemptionSecuriteNationale;R1019
Non;France;Entreprise privée ou publique;Petite;Infrastructure numérique;-;Fournisseur des services d'enregistrement de noms de domaine;-;Autres États membres de l'Union Européenne;Régulée, sans précision EE/EI;#NumeriqueEtabliEMUEhorsFrance ;R1020
Non;France;Entreprise privée ou publique;Petite;Infrastructure numérique;-;Prestataire de service de confiance qualifié;-;-;Régulée EE;#MecanismeExemptionSecuriteNationale;R1021
Non;France;Entreprise privée ou publique;Petite;Infrastructure numérique;-;Prestataire de service de confiance non qualifié;-;-;Régulée EI;#CriteresDePossibleInclusion, #MecanismeExemptionSecuriteNationale, #ResilienceEntiteCritique;R1022
Non;France;Entreprise privée ou publique;Petite;Infrastructure numérique;-;Fournisseur de services d'informatique en nuage;-;-;Non régulée;#CriteresDePossibleInclusion, #ResilienceEntiteCritique;R1023
Non;France;Entreprise privée ou publique;Petite;Infrastructure numérique;-;Fournisseur de services de centres de données;-;-;Non régulée;#CriteresDePossibleInclusion, #ResilienceEntiteCritique;R1024
Non;France;Entreprise privée ou publique;Petite;Infrastructure numérique;-;Fournisseur de réseaux de diffusion de contenu;-;-;Non régulée;#CriteresDePossibleInclusion, #ResilienceEntiteCritique;R1025
Non;France;Entreprise privée ou publique;Petite;Infrastructure numérique;-;Fournisseur de points d'échange internet;-;-;Non régulée;#CriteresDePossibleInclusion, #ResilienceEntiteCritique;R1026
Non;France;Entreprise privée ou publique;Petite;Infrastructure numérique;-;Autre activité;-;-;Non régulée;#CriteresDePossibleInclusion, #ResilienceEntiteCritique;R1027
Non;France;Entreprise privée ou publique;Petite;Banques (secteur bancaire);-;-;-;-;Non régulée;#CriteresDePossibleInclusion, #DORA, #ResilienceEntiteCritique;R1028
Non;France;Entreprise privée ou publique;Petite;Eau potable;-;-;-;-;Non régulée;#CriteresDePossibleInclusion, #ResilienceEntiteCritique;R1030
Non;France;Entreprise privée ou publique;Petite;Eaux usées;-;-;-;-;Non régulée;#CriteresDePossibleInclusion, #ResilienceEntiteCritique;R1032
Non;France;Entreprise privée ou publique;Petite;Énergie;-;-;-;-;Non régulée;#CriteresDePossibleInclusion, #ResilienceEntiteCritique;R1034
Non;France;Entreprise privée ou publique;Petite;Espace;-;-;-;-;Non régulée;#CriteresDePossibleInclusion, #ResilienceEntiteCritique;R1045
Non;France;Entreprise privée ou publique;Petite;Fabrication;-;-;-;-;Non régulée;#CriteresDePossibleInclusion, #ResilienceEntiteCritique;R1047
Non;France;Entreprise privée ou publique;Petite;Fabrication, production et distribution de produits chimiques;-;-;-;-;Non régulée;#CriteresDePossibleInclusion, #ResilienceEntiteCritique;R1060
Non;France;Entreprise privée ou publique;Petite;Fournisseurs numériques;-;-;-;-;Non régulée;#CriteresDePossibleInclusion, #ResilienceEntiteCritique;R1062
Non;France;Entreprise privée ou publique;Petite;Gestion des déchets;-;-;-;-;Non régulée;#CriteresDePossibleInclusion, #ResilienceEntiteCritique;R1064
Non;France;Entreprise privée ou publique;Petite;Gestion des services TIC;-;-;-;-;Non régulée;#CriteresDePossibleInclusion, #ResilienceEntiteCritique;R1066
Non;France;Entreprise privée ou publique;Petite;Infrastructure des marchés financiers;-;-;-;-;Non régulée;#CriteresDePossibleInclusion, #DORA, #ResilienceEntiteCritique;R1068
Non;France;Entreprise privée ou publique;Petite;Production transformation et distribution de denrées alimentaires;-;-;-;-;Non régulée;#CriteresDePossibleInclusion, #ResilienceEntiteCritique;R1070
Non;France;Entreprise privée ou publique;Petite;Recherche;-;-;-;-;Non régulée;#CriteresDePossibleInclusion, #ResilienceEntiteCritique;R1072
Non;France;Entreprise privée ou publique;Petite;Santé;-;-;-;-;Non régulée;#CriteresDePossibleInclusion, #ResilienceEntiteCritique;R1074
Non;France;Entreprise privée ou publique;Petite;Services postaux et d'expédition;-;-;-;-;Non régulée;#CriteresDePossibleInclusion, #ResilienceEntiteCritique;R1076
Non;France;Entreprise privée ou publique;Petite;Transports;-;-;-;-;Non régulée;#CriteresDePossibleInclusion, #ResilienceEntiteCritique;R1078
Non;France;Entreprise privée ou publique;Petite;Autre secteur d'activité;-;-;-;-;Non régulée;-;R1087
Non;France;Entreprise privée ou publique;Moyenne;Infrastructure numérique;-;Fournisseur de réseaux de communications électroniques publics;France;-;Régulée EE;#MecanismeExemptionSecuriteNationale;R1088
Non;France;Entreprise privée ou publique;Moyenne;Infrastructure numérique;-;Fournisseur de réseaux de communications électroniques publics;Autres États membres de l'Union Européenne;-;Régulée, sans précision EE/EI;#TelecomAutresEMdelUEUniquement;R1089
Non;France;Entreprise privée ou publique;Moyenne;Infrastructure numérique;-;Fournisseur de réseaux de communications électroniques publics;Autres États hors Union Européenne;-;Non régulée;-;R1090
Non;France;Entreprise privée ou publique;Moyenne;Infrastructure numérique;-;Fournisseur de réseaux de communications électroniques publics;France + Autres États membres de l'Union Européenne;-;Régulée EE;#TelecomFranceEtAutresEMdelUE, #MecanismeExemptionSecuriteNationale;R1091
Non;France;Entreprise privée ou publique;Moyenne;Infrastructure numérique;-;Fournisseur de réseaux de communications électroniques publics;France + Autres États hors Union Européenne;-;Régulée EE;#MecanismeExemptionSecuriteNationale;R1092
Non;France;Entreprise privée ou publique;Moyenne;Infrastructure numérique;-;Fournisseur de réseaux de communications électroniques publics;Autres États membres de l'Union Européenne + Autres États hors Union Européenne;-;Régulée, sans précision EE/EI;#TelecomAutresEMdelUEUniquement;R1093
Non;France;Entreprise privée ou publique;Moyenne;Infrastructure numérique;-;Fournisseur de réseaux de communications électroniques publics;France + Autres États membres de l'Union Européenne + Autres États hors Union Européenne;-;Régulée EE;#TelecomFranceEtAutresEMdelUE, #MecanismeExemptionSecuriteNationale;R1094
Non;France;Entreprise privée ou publique;Moyenne;Infrastructure numérique;-;Fournisseur de services de communications électroniques accessibles au public;France;-;Régulée EE;#MecanismeExemptionSecuriteNationale;R1095
